,mouse,date,sessions,protocols
178,1884,2025-04-04,"['of', 'obj1', 'of1', 'opto']","['5', '5', '5', '5']"
179,1884,2025-04-10,"['of', 'obj', 'opto', 'obj1', 'of1', 'of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['6', '5', '5', '5', '6', '6', '5', '6', '5', '5', '5']"
180,1884,2025-04-25,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
181,1884,2025-05-06,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
182,1884,2025-04-10b,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
183,1884,2025-04-17,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
184,1884,2025-05-05,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
185,1884,2025-05-08,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
186,1884,2025-05-01,"['of', 'obj', 'of1', 'opto1']","['5', '5', '5', '5']"
187,1884,2025-04-22,"['of', 'obj', 'opto', 'obj1', 'of1', 'of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['6', '5', '5', '5', '5', '6', '5', '5', '5', '5', '5']"
188,1884,2025-03-28,"['of', 'opto']","['U', 'U']"
189,1884,2025-04-03,"['of', 'opto']","['U', 'U']"
190,1870,2025-04-01,"['of', 'obj', 'opto', 'obj1', 'of2']","['6', '6', '6', '6', '6']"
191,1870,2025-03-20,"['of', 'opto']","['U', 'U']"
192,1870,2025-03-31,"['of', 'obj', 'of1', 'opto']","['1', '1', '1', '1']"
193,1870,2025-03-21,"['of', 'obj', 'of1', 'opto']","['1', '1', '1', '1']"
194,1870,2025-03-04,"['of', 'opto']","['U', 'U']"
195,1870,2025-03-08,"['of', 'opto']","['U', 'U']"
196,1870,2025-03-14,"['of1', 'opto']","['U', 'U']"
197,1870,2025-03-28,"['of', 'obj', 'opto', 'obj1', 'of2']","['6', '6', '6', '6', '6']"
198,1870,2025-03-23,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
199,1870,2025-03-27,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
200,1870,2025-03-17,"['of', 'obj', 'of1', 'opto']","['1', '1', '1', '1']"
201,1885,2025-04-24,"['of', 'opto']","['U', 'U']"
202,1885,2025-05-26,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
203,1885,2025-05-09,"['of', 'obj', 'of1', 'obj1', 'of1', 'opto']","['5', '5', '5', '5', '5', '5']"
204,1885,2025-05-13,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
205,1885,2025-04-25,"['of', 'opto']","['U', 'U']"
206,1885,2025-05-06,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
207,1885,2025-05-24,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
208,1885,2025-04-17,"['of', 'opto']","['U', 'U']"
209,1885,2025-05-08,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
210,1885,2025-05-01,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
211,1885,2025-05-27,"['of', 'obj', 'of1', 'opto']","['3', '3', '3', '3']"
212,1885,2025-05-05,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
213,1885,2025-05-20,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
214,1885,2025-05-22,"['of', 'obj', 'opto1', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
215,1404,2022-07-29,"['of', 'opto']","['U', 'U']"
216,1404,2022-08-01,"['of', 'opto']","['U', 'U']"
217,1886,2025-04-24,"['of', 'opto']","['U', 'U']"
218,1886,2025-05-13,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
219,1886,2025-04-22,"['of', 'opto']","['U', 'U']"
220,1886,2025-05-05,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
221,1886,2025-05-08,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
222,1886,2025-03-28,"['of', 'opto']","['U', 'U']"
223,1886,2025-06-02,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
224,1886,2025-05-26,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
225,1886,2025-04-25,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
226,1886,2025-05-29,"['of', 'obj', 'opto', 'obj1', 'of1']","['6', '6', '6', '6', '6']"
227,1886,2025-05-01,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
228,1886,2025-05-20,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
229,1886,2025-04-27,"['of', 'obj', 'opto', 'obj1', 'of2']","['6', '6', '6', '6', '6']"
230,1886,2025-05-22,"['of', 'obj', 'opto', 'obj1', 'of2']","['6', '6', '6', '6', '6']"
231,1886,2025-05-09,"['of', 'obj', 'of1', 'obj1', 'of2', 'otpo']","['5', '5', '5', '5', '5', '5']"
232,1886,2025-04-10,"['of', 'opto']","['U', 'U']"
233,1886,2025-05-06,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
234,1886,2025-04-17,"['of', 'opto']","['U', 'U']"
235,1886,2025-05-27,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto']","['5', '5', '5', '5', '5', '5']"
